epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,685.226,1.16926,0.69799,0.00135,0.81561,0.82209,0.86878,0.53846,1.36189,0.67652,0.0024,0.000396265,0.000396265,0.000396265
43,701.543,1.14396,0.6846,0.00131,0.93416,0.78442,0.88206,0.5668,1.19009,0.6506,0.00201,0.000389661,0.000389661,0.000389661
44,717.913,1.13384,0.66592,0.0013,0.86562,0.84227,0.8938,0.58254,1.16597,0.60955,0.00205,0.000383058,0.000383058,0.000383058
45,734.36,1.13971,0.68364,0.00132,0.82611,0.79496,0.85991,0.54024,1.2264,0.65811,0.00208,0.000376455,0.000376455,0.000376455
46,749.973,1.12928,0.67527,0.0013,0.94336,0.77264,0.88458,0.55808,1.2245,0.66742,0.0022,0.000369851,0.000369851,0.000369851
47,765.697,1.16393,0.68437,0.00134,0.92871,0.7795,0.89049,0.53207,1.30057,0.68848,0.00231,0.000363248,0.000363248,0.000363248
48,781.631,1.14912,0.69166,0.0013,0.87606,0.79915,0.87727,0.57958,1.12511,0.67491,0.00191,0.000356645,0.000356645,0.000356645
49,797.48,1.12294,0.62296,0.00128,0.84414,0.78192,0.86651,0.54941,1.24544,0.67063,0.00214,0.000350042,0.000350042,0.000350042
50,813.174,1.10588,0.63082,0.00127,0.82821,0.81241,0.86323,0.53183,1.35693,0.68105,0.00243,0.000343438,0.000343438,0.000343438
51,828.824,1.11596,0.62546,0.0013,0.93305,0.8182,0.89672,0.60438,1.15053,0.62207,0.00199,0.000336835,0.000336835,0.000336835
52,844.552,1.12055,0.623,0.00123,0.90472,0.79418,0.87496,0.54953,1.31801,0.68256,0.00223,0.000330232,0.000330232,0.000330232
53,860.403,1.10283,0.6085,0.00125,0.89066,0.79544,0.87369,0.56613,1.22593,0.6395,0.00203,0.000323628,0.000323628,0.000323628
54,877.064,1.11438,0.63655,0.00126,0.92563,0.80722,0.88359,0.58676,1.13187,0.63569,0.00187,0.000317025,0.000317025,0.000317025
55,892.909,1.0935,0.60842,0.00122,0.93615,0.78607,0.89541,0.60389,1.1611,0.60136,0.00193,0.000310422,0.000310422,0.000310422
56,908.555,1.10842,0.63172,0.00124,0.86777,0.83221,0.90039,0.60051,1.18572,0.60358,0.002,0.000303818,0.000303818,0.000303818
57,924.359,1.11984,0.63532,0.00127,0.86548,0.82402,0.89509,0.62438,1.09253,0.59559,0.00182,0.000297215,0.000297215,0.000297215
58,940.225,1.07325,0.5853,0.00118,0.87518,0.8294,0.90027,0.57668,1.23138,0.62273,0.00207,0.000290612,0.000290612,0.000290612
59,956.206,1.09351,0.59511,0.00121,0.91656,0.79379,0.87571,0.58764,1.15996,0.63555,0.00197,0.000284009,0.000284009,0.000284009
60,972.305,1.08037,0.59155,0.00121,0.85298,0.8151,0.88226,0.58303,1.18029,0.6344,0.00204,0.000277405,0.000277405,0.000277405
61,988.69,1.06637,0.56788,0.00119,0.86181,0.82926,0.88172,0.5857,1.1899,0.61201,0.00205,0.000270802,0.000270802,0.000270802
62,1005.3,1.06567,0.55598,0.00117,0.84832,0.82604,0.89038,0.58752,1.14612,0.64452,0.00193,0.000264199,0.000264199,0.000264199
63,1021.71,1.07179,0.56604,0.00124,0.92868,0.80009,0.88675,0.58003,1.17922,0.6287,0.00198,0.000257595,0.000257595,0.000257595
64,1038.59,1.07884,0.59095,0.00118,0.87449,0.81665,0.89098,0.59784,1.15146,0.6226,0.00195,0.000250992,0.000250992,0.000250992
65,1055.4,1.05669,0.56766,0.0012,0.92008,0.82786,0.8974,0.60186,1.14311,0.60113,0.00194,0.000244389,0.000244389,0.000244389
66,1071.93,1.06263,0.5855,0.00117,0.94737,0.79324,0.87644,0.6233,1.04095,0.63286,0.00179,0.000237785,0.000237785,0.000237785
67,1088.5,1.06613,0.57118,0.00117,0.92884,0.79377,0.88076,0.59009,1.13114,0.64145,0.00191,0.000231182,0.000231182,0.000231182
68,1105.13,1.04493,0.56166,0.00118,0.95438,0.77841,0.88096,0.60771,1.06482,0.64289,0.00186,0.000224579,0.000224579,0.000224579
69,1121.46,1.02674,0.51018,0.00115,0.93279,0.78458,0.88124,0.61733,1.07256,0.64037,0.00183,0.000217976,0.000217976,0.000217976
70,1138.27,1.03301,0.53721,0.00111,0.89015,0.80076,0.87477,0.62005,1.06129,0.64179,0.00179,0.000211372,0.000211372,0.000211372
71,1154.27,1.02987,0.52949,0.00116,0.94147,0.80788,0.88127,0.62808,1.02596,0.5922,0.00173,0.000204769,0.000204769,0.000204769
72,1170.42,1.03159,0.52061,0.00116,0.87398,0.80485,0.87532,0.61352,1.08451,0.61345,0.00185,0.000198166,0.000198166,0.000198166
73,1186.35,1.04084,0.54969,0.00109,0.84291,0.8149,0.88096,0.62987,1.02884,0.58743,0.00176,0.000191562,0.000191562,0.000191562
74,1202.89,1.01684,0.54341,0.00114,0.92934,0.79379,0.89121,0.63222,1.02649,0.59955,0.00176,0.000184959,0.000184959,0.000184959
75,1219.09,1.0068,0.51865,0.00113,0.91425,0.82233,0.90018,0.61066,1.15273,0.58713,0.00196,0.000178356,0.000178356,0.000178356
76,1235.31,1.00978,0.53113,0.00114,0.94089,0.81925,0.89171,0.62561,1.04547,0.61035,0.00175,0.000171752,0.000171752,0.000171752
77,1251.5,1.00054,0.5111,0.00111,0.86587,0.82734,0.89864,0.63356,1.06217,0.57358,0.00178,0.000165149,0.000165149,0.000165149
78,1267.66,1.01385,0.54842,0.00115,0.89472,0.85262,0.90191,0.65175,1.00183,0.58971,0.00169,0.000158546,0.000158546,0.000158546
79,1283.63,1.01556,0.52347,0.00112,0.95617,0.80906,0.89601,0.64784,1.02603,0.57907,0.00172,0.000151943,0.000151943,0.000151943
80,1299.35,0.98047,0.48782,0.00105,0.86482,0.81251,0.88445,0.61489,1.06612,0.61238,0.00185,0.000145339,0.000145339,0.000145339
81,1315.26,0.97012,0.4789,0.00107,0.88256,0.82341,0.8963,0.62016,1.05031,0.61924,0.00178,0.000138736,0.000138736,0.000138736
82,1331.12,1.01044,0.5457,0.0011,0.85757,0.81406,0.88091,0.60155,1.10661,0.62976,0.00187,0.000132133,0.000132133,0.000132133
83,1346.89,0.98522,0.50905,0.00109,0.82723,0.82888,0.8745,0.58994,1.11465,0.65903,0.00192,0.000125529,0.000125529,0.000125529
84,1362.79,0.96133,0.46663,0.00107,0.87104,0.83895,0.88466,0.61933,1.04883,0.64955,0.00177,0.000118926,0.000118926,0.000118926
85,1378.64,0.97351,0.5024,0.00109,0.8452,0.84723,0.88538,0.63393,0.99525,0.57319,0.00167,0.000112323,0.000112323,0.000112323
86,1394.71,0.98627,0.48003,0.00107,0.90148,0.83543,0.88941,0.62549,1.01911,0.61317,0.00174,0.00010572,0.00010572,0.00010572
87,1410.71,0.97209,0.47619,0.00106,0.90394,0.83083,0.89745,0.61232,1.09188,0.62463,0.00186,9.91162e-05,9.91162e-05,9.91162e-05
88,1427.21,0.95547,0.48267,0.00104,0.94919,0.80124,0.89952,0.62325,1.04905,0.57151,0.0018,9.25129e-05,9.25129e-05,9.25129e-05
89,1443.3,0.95607,0.48356,0.00104,0.89806,0.81731,0.90046,0.63428,1.05108,0.59353,0.0018,8.59096e-05,8.59096e-05,8.59096e-05
90,1459.31,0.98208,0.49779,0.00106,0.8984,0.84336,0.89721,0.62021,1.05867,0.63263,0.0018,7.93063e-05,7.93063e-05,7.93063e-05
91,1475.39,0.88876,0.3894,0.00104,0.86399,0.82544,0.86644,0.62867,1.0431,0.56799,0.00177,7.2703e-05,7.2703e-05,7.2703e-05
92,1491.13,0.87281,0.37468,0.001,0.83939,0.83685,0.86861,0.61072,1.08375,0.5953,0.00183,6.60997e-05,6.60997e-05,6.60997e-05
93,1506.9,0.87094,0.36857,0.001,0.83046,0.828,0.86904,0.6177,1.05362,0.59642,0.00176,5.94964e-05,5.94964e-05,5.94964e-05
94,1522.46,0.84691,0.36458,0.00101,0.82277,0.83542,0.87477,0.61852,1.02911,0.61365,0.00173,5.28931e-05,5.28931e-05,5.28931e-05
95,1538.04,0.87519,0.36961,0.00099,0.82318,0.81901,0.85886,0.62306,1.03766,0.61532,0.00176,4.62898e-05,4.62898e-05,4.62898e-05
96,1553.63,0.8468,0.35271,0.00096,0.84987,0.82719,0.85966,0.61736,1.03175,0.6263,0.00173,3.96865e-05,3.96865e-05,3.96865e-05
97,1569.09,0.85753,0.36467,0.00097,0.85108,0.82859,0.86137,0.62192,1.02003,0.61475,0.0017,3.30832e-05,3.30832e-05,3.30832e-05
98,1584.68,0.83732,0.34775,0.00095,0.85903,0.8266,0.86358,0.62677,1.00116,0.6141,0.00169,2.64799e-05,2.64799e-05,2.64799e-05
